libelle_drh;structure_iss;uid_dhis2;district;type;statut
CS Enta Fassa;CSU Enta Fassa;lNKyLLezEjM;DCS Matoto;CS;OK
CSA Kountia;CSA Kountya;ZXGni6XlpY6;DPS Coyah;CSA;OK
CSngU Founde;CSU Foundeng;BbYhIckCaix;DPS Dabola;CS;OK

# ---- décisions validées le 26/09/2026 (classeur « correspondances a valider ») ----
Boffa Centre;;;;;a trancher
Boffa centre;;;;;a trancher
CSU/Telimele;;;;;a trancher
CS Salambandé;CSR Madina salanbade;OQ3wlyiW1KS;;;OK
CSU GhadaKoubi;CSU Gadha Koubi;Y049yi8vZRa;;;OK
CSU Sencerie;CSU Sincery;z5MsDo7fnBU;;;OK
DPSBOKE;;;;;bureau de district
PS KOWAN NAFADJI;;;;;a trancher
Boffa Centre/;;;;;a trancher
CS Fadi;;;;;a trancher
CSR KASSOAO;CSR Kassapo;DaMkJM4hF0y;;;OK
CSU Gbéréyoré (PS Terset);CSU Gbereyire;gurnaS74ZEh;;;OK
Fadi;;;;;a trancher
HPHPGAOUAL;HP Gaoual;E1ebCbKxJCc;;;OK
INFIRMERIE UNIVERSITE;Infimerie de l'université de N'zerekore;RF8T8qK4dve;;;OK
POSTE DE SANTE BADAKÖ;PS Gbalako;mgjz02mFVrj;;;OK
PS KINSY;PS Kinssi;vUGIfNYZS2v;;;OK
Ps FANGNE;PS Fandié;bn5edvW6OVE;;;OK
N'gnafou;PS Niafou;rZMCysGlaTP;;;OK
HRK;HR Kankan;Io2v0J90ZWH;DPS Kankan;HR;OK
HRK;HR Kindia;sGoPtbQESWv;DPS Kindia;HR;OK
